cluster	n_genes	mean_log2_range	fold_change	mean_correlation_to_centroid	mean_silhouette	peak_sample	trough_sample	zmean_S1	zmean_S2	zmean_S3	zmean_S4	zmean_S5	zmean_S6	zmean_S7	zmean_S8	zmean_S9	log2mean_S1	log2mean_S2	log2mean_S3	log2mean_S4	log2mean_S5	log2mean_S6	log2mean_S7	log2mean_S8	log2mean_S9
2	1338	0.8895	1.8526	0.5380	0.0171	S7	S4	0.4258	0.2714	0.0775	-1.2424	-0.4625	-0.2784	0.5105	0.3955	0.3027	9.5488	9.5028	9.4890	9.1039	9.3964	9.2955	9.5208	9.5229	9.5747
3	4494	1.1168	2.1686	0.8620	0.4554	S1	S9	1.3995	1.0632	1.1453	-0.7252	-0.6334	-0.3962	-0.5358	-0.5034	-0.8139	10.8249	10.6476	10.7167	9.9982	10.0271	10.0869	10.0110	10.0586	9.9967
0	3056	1.2143	2.3202	0.8100	0.4243	S9	S1	-1.2830	-1.0038	-1.1065	0.5470	0.4972	0.4109	0.5736	0.5211	0.8435	9.6932	9.8272	9.7725	10.4743	10.5072	10.4091	10.5068	10.4926	10.6424
1	879	0.7361	1.6656	0.4395	-0.0049	S4	S7	-0.0494	-0.0663	0.1294	0.7888	0.3138	0.4103	-0.6511	-0.5339	-0.3414	9.4977	9.6106	9.6108	9.6646	9.6968	9.5943	9.4089	9.4404	9.5405
