sample_cluster	direction	rank	gene	snr	log2_fold_change	mean_log2_in_cluster	mean_log2_outside
1	down	40	G2327	-5.9602	-1.5213	9.7670	11.2883
1	down	41	G1193	-5.9431	-2.4035	6.6687	9.0721
1	down	42	G9454	-5.9108	-2.0305	9.5038	11.5343
1	down	43	G1196	-5.8930	-2.1708	10.8598	13.0305
1	down	44	G2024	-5.8633	-2.1535	8.0271	10.1807
1	down	45	G9187	-5.8098	-1.9442	8.9754	10.9196
1	down	46	G5156	-5.8015	-1.9821	8.1689	10.1511
1	down	47	G9067	-5.7747	-3.7094	8.3106	12.0200
1	down	48	G5697	-5.7530	-1.3060	12.8114	14.1174
1	down	49	G4516	-5.7293	-1.9319	8.5572	10.4891
1	down	50	G6243	-5.7202	-1.6776	11.5325	13.2101
2	up	1	G2291	8.8833	3.5999	12.9559	9.3560
2	up	2	G4681	8.1186	3.4155	15.3138	11.8983
2	up	3	G8582	8.0460	3.2768	15.5749	12.2981
2	up	4	G1916	8.0246	5.1906	11.3930	6.2024
2	up	5	G4671	7.8918	4.0302	16.4543	12.4241
2	up	6	G9515	7.7148	2.3165	11.2791	8.9626
2	up	7	G3175	7.5984	3.0712	13.2392	10.1680
2	up	8	G9480	7.5410	3.3158	12.2588	8.9430
2	up	9	G4627	7.3615	3.0264	16.8322	13.8058
2	up	10	G8358	7.3268	2.7499	14.5422	11.7923
2	up	11	G2022	7.1881	3.3887	12.9354	9.5466
2	up	12	G1214	7.1366	1.9015	11.5019	9.6004
2	up	13	G3862	7.1074	3.2448	15.2260	11.9812
2	up	14	G9516	7.0700	3.0981	13.4036	10.3055
2	up	15	G1051	7.0450	3.2173	14.2879	11.0706
2	up	16	G1553	7.0152	2.7918	11.4521	8.6603
2	up	17	G9015	6.9682	3.9339	12.2116	8.2778
2	up	18	G1507	6.8932	2.0764	12.2414	10.1649
2	up	19	G2964	6.8420	3.4647	15.8240	12.3592
2	up	20	G4203	6.7529	1.6363	11.8334	10.1971
2	up	21	G5681	6.7393	1.6762	10.6947	9.0184
2	up	22	G3693	6.6110	2.6226	15.4794	12.8569
2	up	23	G3879	6.5009	2.9950	13.9029	10.9079
2	up	24	G5128	6.4845	2.2884	12.5319	10.2435
2	up	25	G363	6.3962	4.2470	11.2844	7.0375
2	up	26	G9558	6.3780	2.6958	13.3612	10.6655
2	up	27	G5188	6.3745	2.3234	12.3114	9.9880
2	up	28	G4586	6.3154	3.0961	13.7645	10.6684
2	up	29	G888	6.3076	1.8871	15.3275	13.4404
2	up	30	G231	6.2838	6.7300	16.9954	10.2655
2	up	31	G3695	6.2494	2.7665	10.9293	8.1628
2	up	32	G264	6.2219	2.3320	12.6186	10.2866
2	up	33	G7855	6.0783	2.5936	15.7826	13.1889
2	up	34	G4823	6.0782	3.4869	14.1286	10.6417
2	up	35	G5255	6.0633	1.7834	9.8752	8.0918
2	up	36	G513	6.0007	2.8689	13.5012	10.6323
2	up	37	G6929	5.9932	2.5855	12.7273	10.1418
2	up	38	G5416	5.9857	2.8704	13.4752	10.6048
2	up	39	G648	5.9608	1.7401	11.0457	9.3057
2	up	40	G2327	5.9602	1.5213	11.2883	9.7670
2	up	41	G1193	5.9431	2.4035	9.0721	6.6687
2	up	42	G9454	5.9108	2.0305	11.5343	9.5038
2	up	43	G1196	5.8930	2.1708	13.0305	10.8598
2	up	44	G2024	5.8633	2.1535	10.1807	8.0271
2	up	45	G9187	5.8098	1.9442	10.9196	8.9754
2	up	46	G5156	5.8015	1.9821	10.1511	8.1689
2	up	47	G9067	5.7747	3.7094	12.0200	8.3106
2	up	48	G5697	5.7530	1.3060	14.1174	12.8114
2	up	49	G4516	5.7293	1.9319	10.4891	8.5572
2	up	50	G6243	5.7202	1.6776	13.2101	11.5325
2	down	1	G2837	-12.8240	-6.4946	5.7511	12.2457
2	down	2	G2428	-12.1201	-10.5417	3.9024	14.4441
2	down	3	G344	-11.1348	-1.8747	12.2333	14.1079
2	down	4	G9468	-10.6217	-3.0101	12.6340	15.6440
2	down	5	G6261	-10.0277	-2.7724	12.2129	14.9853
2	down	6	G8324	-9.8418	-2.5240	13.1087	15.6327
2	down	7	G5761	-9.7886	-5.5334	4.5703	10.1036
2	down	8	G2969	-9.6359	-6.6220	5.6753	12.2973
2	down	9	G7059	-9.6319	-3.5541	7.8529	11.4070
2	down	10	G2433	-9.5070	-10.3174	2.5978	12.9152
2	down	11	G6801	-9.4357	-5.2527	11.7748	17.0275
2	down	12	G1103	-9.3253	-2.2347	13.6312	15.8658
2	down	13	G8836	-8.9444	-4.4990	4.7228	9.2219
2	down	14	G7058	-8.7449	-3.2583	8.4655	11.7238
2	down	15	G2427	-8.7305	-6.5132	9.0654	15.5786
2	down	16	G1383	-8.5920	-5.8908	6.2019	12.0927
2	down	17	G3570	-8.2547	-3.2731	9.1669	12.4399
2	down	18	G8428	-8.1665	-1.7977	13.3310	15.1287
2	down	19	G8433	-7.8164	-2.1951	12.6792	14.8742
2	down	20	G7682	-7.5609	-3.1032	9.7687	12.8719
2	down	21	G2735	-7.5020	-3.8248	4.1593	7.9842
2	down	22	G1330	-7.3567	-3.0787	5.2326	8.3113
2	down	23	G9666	-7.3288	-2.7457	14.2624	17.0080
2	down	24	G5281	-7.2840	-2.4216	15.0261	17.4477
2	down	25	G7603	-7.2265	-4.1350	6.0086	10.1436
2	down	26	G5475	-7.1818	-2.0420	8.2435	10.2855
2	down	27	G117	-7.0495	-1.4457	12.8325	14.2782
2	down	28	G1316	-7.0430	-1.8120	10.5566	12.3686
2	down	29	G2970	-6.8940	-5.9861	6.2079	12.1941
2	down	30	G3848	-6.8708	-7.9103	4.8334	12.7437
2	down	31	G9697	-6.7751	-5.4313	7.2596	12.6909
2	down	32	G1779	-6.7398	-2.1706	10.7340	12.9046
2	down	33	G5021	-6.6934	-1.7089	11.5348	13.2437
2	down	34	G8184	-6.6709	-1.7163	13.2772	14.9935
2	down	35	G7279	-6.6564	-3.0181	10.2274	13.2455
2	down	36	G220	-6.5114	-3.8507	5.6159	9.4666
2	down	37	G4091	-6.4798	-4.9464	4.0857	9.0321
2	down	38	G8296	-6.4122	-2.0070	11.1877	13.1947
2	down	39	G8830	-6.3112	-4.7056	9.9215	14.6271
2	down	40	G8143	-6.3067	-1.2047	9.5534	10.7581
2	down	41	G6667	-6.2829	-3.8363	3.8855	7.7218
2	down	42	G1432	-6.1829	-1.9935	13.1872	15.1807
2	down	43	G1709	-6.1587	-1.8546	11.9787	13.8333
2	down	44	G4322	-6.1150	-1.8405	9.5623	11.4028
2	down	45	G1666	-6.0924	-2.2012	15.1860	17.3872
2	down	46	G85	-6.0819	-1.8212	11.6265	13.4478
2	down	47	G2633	-6.0723	-4.7961	4.5389	9.3349
2	down	48	G6812	-6.0214	-6.9321	1.4794	8.4115
2	down	49	G192	-6.0115	-1.2325	9.7853	11.0179
2	down	50	G9417	-6.0054	-3.5674	7.6681	11.2356
